R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Stephen Thompson,Nah-Shon Burrell,Stephen Thompson,Welterweight,-2.54,-5.08,7,0,1,76.5,1.0,0.0
Brian Bowles,George Roop,George Roop,Bantamweight,15.24,5.08,1,1,-4,16.41666667,-0.208333333,-0.041666667
Jeremy Stephens,Estevan Payan,Jeremy Stephens,Featherweight,5.08,2.54,-4,-7,8,-30.86666667,-0.533333333,-1.2
Vitor Belfort,Luke Rockhold,Vitor Belfort,Middleweight,7.62,7.62,8,-11,6,-10.64705882,-0.470588235,-0.352941176
Jacare Souza,Chris Camozzi,Jacare Souza,Middleweight,2.54,10.16,7,6,-2,50.125,0.375,0.0
Rafael Dos Anjos,Evan Dunham,Rafael Dos Anjos,Lightweight,5.08,0.0,-3,0,1,32.9,0.381818182,-0.881818182
Rafael Natal,Joao Zeferino,Rafael Natal,Middleweight,-2.54,-7.62,3,-3,3,-42.83333333,-1.0,-3.166666667
Hacran Dias,Nik Lentz,Nik Lentz,Featherweight,0.0,-2.54,0,6,-4,21.36363636,1.454545455,-1.272727273
Francisco Trinaldo,Mike Rio,Francisco Trinaldo,Lightweight,2.54,2.54,3,-1,1,4.0,0.0,3.333333333
Gleison Tibau,John Cholish,Gleison Tibau,Lightweight,2.54,2.54,0,-10,6,20.05555556,-0.833333333,-2.722222222
Paulo Thiago,Michel Prazeres,Paulo Thiago,Welterweight,-12.7,-15.24,1,-4,5,-13.88888889,-1.333333333,-1.111111111
Iuri Alcantara,Iliarde Santos,Iuri Alcantara,Bantamweight,-10.16,-12.7,0,-2,2,-30.25,-1.0,-1.75
Fabio Maldonado,Roger Hollett,Fabio Maldonado,Light Heavyweight,-5.08,-12.7,-1,-1,2,-42.75,-1.0,-0.5
John Lineker,Azamat Gashimov,John Lineker,Flyweight,7.62,-2.54,-1,-1,0,-82.5,0.0,1.0
Jussier Formiga,Chris Cariaso,Jussier Formiga,Flyweight,-5.08,-10.16,-3,4,-1,42.5,0.166666667,1.166666667
Lucas Martins,Jeremy Larsen,Lucas Martins,Lightweight,-5.08,-5.08,-4,0,0,1.0,0.0,0.0
Jon Jones,Chael Sonnen,Jon Jones,Light Heavyweight,-7.62,-25.4,-11,-5,-4,-8.33333333,-0.484848485,1.265151515
Michael Bisping,Alan Belcher,Michael Bisping,Middleweight,2.54,-5.08,5,-4,0,-22.94444444,0.293650793,-1.158730158
Roy Nelson,Cheick Kongo,Roy Nelson,Heavyweight,10.16,25.4,-1,6,-3,13.40441176,0.051470588,1.036764706
Phil Davis,Vinny Magalhaes,Phil Davis,Light Heavyweight,2.54,0.0,0,-5,0,-17.33333333,-0.083333333,-1.5
Rustam Khabilov,Yancy Medeiros,Rustam Khabilov,Lightweight,5.08,5.08,1,-1,0,-13.0,0.0,-5.0
Gian Villante,Ovince Saint Preux,Ovince Saint Preux,Light Heavyweight,0.0,10.16,-3,0,0,0.0,0.0,0.0
Sara McMann,Sheila Gaff,Sara McMann,Women's Bantamweight,-2.54,-10.16,9,0,0,0.0,0.0,0.0
Bryan Caraway,Johnny Bedford,Bryan Caraway,Bantamweight,5.08,7.62,-2,0,1,34.33333333,-1.0,-0.166666667
Leonard Garcia,Cody McKenzie,Cody McKenzie,Featherweight,5.08,7.62,8,0,3,-33.275,0.625,0.1
Steven Siler,Kurt Holobaugh,Steven Siler,Featherweight,0.0,0.0,0,-3,1,-45.0,-1.25,-0.5
Benson Henderson,Gilbert Melendez,Benson Henderson,Lightweight,0.0,7.62,-2,-6,0,-72.66666667,-1.0,-3.5
Frank Mir,Daniel Cormier,Daniel Cormier,Heavyweight,-10.16,-17.78,-1,-14,6,-12.6,-1.0,-0.95
Nate Diaz,Josh Thomson,Josh Thomson,Lightweight,-5.08,-12.7,-6,-9,5,-22.60784314,-1.294117647,0.843137255
Matt Brown,Jordan Mein,Matt Brown,Welterweight,0.0,-5.08,9,-8,5,-1.42857143,-1.214285714,-1.071428571
Chad Mendes,Darren Elkins,Chad Mendes,Featherweight,10.16,12.7,-1,2,0,4.02857143,1.428571429,-0.228571429
Francis Carmont,Lorenz Larkin,Francis Carmont,Middleweight,-10.16,-15.24,5,-4,0,-29.25,-1.0,-1.25
Ramsey Nijem,Myles Jury,Myles Jury,Lightweight,-2.54,-5.08,1,-1,1,2.75,0.0,-2.0
Joseph Benavidez,Darren Uyenoyama,Joseph Benavidez,Flyweight,5.08,-2.54,-5,-2,1,-35.6,0.9,-0.2
Tim Means,Jorge Masvidal,Jorge Masvidal,Lightweight,-7.62,-2.54,1,-2,0,-54.5,0.0,0.0
TJ Dillashaw,Hugo Viana,TJ Dillashaw,Bantamweight,0.0,0.0,-3,-1,1,13.5,-1.5,-1.75
Anthony Njokuani,Roger Bowling,Anthony Njokuani,Lightweight,-10.16,-17.78,3,-2,3,-67.4,-0.2,-0.6
Clifford Starks,Yoel Romero,Yoel Romero,Middleweight,0.0,-10.16,-4,-1,1,-21.0,0.0,-1.5
Urijah Faber,Scott Jorgensen,Urijah Faber,Bantamweight,-2.54,-2.54,3,0,0,-4.4,-0.2,0.4
Uriah Hall,Kelvin Gastelum,Kelvin Gastelum,Middleweight,-7.62,-20.32,7,0,0,0.0,0.0,0.0
Miesha Tate,Cat Zingano,Cat Zingano,Women's Bantamweight,0.0,7.62,-4,0,0,0.0,0.0,0.0
Travis Browne,Gabriel Gonzaga,Travis Browne,Heavyweight,-10.16,-7.62,-3,5,-3,-4.73809524,0.380952381,0.119047619
Bubba McDaniel,Gilbert Smith,Bubba McDaniel,Middleweight,-15.24,0.0,-2,0,0,0.0,0.0,0.0
Josh Samman,Kevin Casey,Josh Samman,Middleweight,-10.16,-5.08,-6,0,0,0.0,0.0,0.0
Luke Barnatt,Collin Hart,Luke Barnatt,Middleweight,-12.7,-2.54,1,0,0,0.0,0.0,0.0
Dylan Andrews,Jimmy Quinlan,Dylan Andrews,Middleweight,-2.54,-2.54,7,0,0,0.0,0.0,0.0
Bristol Marunde,Clint Hester,Clint Hester,Middleweight,2.54,15.24,4,0,0,0.0,0.0,0.0
Cole Miller,Bart Palaszewski,Cole Miller,Featherweight,-10.16,-10.16,-1,-6,3,-6.33333333,-0.666666667,-0.333333333
Sam Sicilia,Maximo Blanco,Maximo Blanco,Featherweight,0.0,10.16,-2,-1,0,-18.0,0.0,-0.5
Justin Lawrence,Daniel Pineda,Daniel Pineda,Featherweight,-2.54,5.08,-5,1,-1,-26.0,0.75,-0.5
Gegard Mousasi,Ilir Latifi,Gegard Mousasi,Light Heavyweight,-10.16,-7.62,-2,0,0,0.0,0.0,0.0
Ryan Couture,Ross Pearson,Ross Pearson,Lightweight,-5.08,-15.24,2,6,-3,52.44444444,0.0,0.888888889
Matt Mitrione,Philip De Fries,Matt Mitrione,Heavyweight,5.08,7.62,8,-3,0,-15.82142857,-0.321428571,1.5
Brad Pickett,Mike Easton,Brad Pickett,Bantamweight,0.0,5.08,5,1,1,16.25,-0.25,-0.5
Diego Brandao,Pablo Garza,Diego Brandao,Featherweight,15.24,12.7,-4,1,-1,5.6,0.266666667,-0.933333333
Akira Corassani,Robert Peralta,Akira Corassani,Featherweight,0.0,7.62,3,1,-1,-3.0,0.0,0.333333333
Reza Madadi,Michael Johnson,Reza Madadi,Lightweight,-2.54,2.54,8,3,-2,-7.71428571,-0.5,-2.714285714
Tor Troeng,Adam Cella,Tor Troeng,Middleweight,0.0,2.54,3,0,0,0.0,0.0,0.0
Chris Spang,Adlan Amagov,Adlan Amagov,Welterweight,0.0,-0.96,-1,0,0,0.0,0.0,0.0
Marcus Brimage,Conor McGregor,Conor McGregor,Featherweight,12.7,7.62,4,-3,0,-74.33333333,0.0,-0.333333333
Benny Alloway,Ryan LaFlare,Ryan LaFlare,Welterweight,5.08,-2.54,3,-1,0,-16.0,0.0,0.0
Michael Kuiper,Tom Lawlor,Tom Lawlor,Middleweight,0.0,2.54,-6,3,-3,-20.0,1.0,1.375
Papy Abedi,Besam Yousef,Papy Abedi,Welterweight,0.0,-7.62,6,0,1,15.5,0.0,-0.5
Georges St-Pierre,Nick Diaz,Georges St-Pierre,Welterweight,5.08,0.0,2,-10,-3,-4.82456141,-0.157894737,-2.780701754
Carlos Condit,Johny Hendricks,Johny Hendricks,Welterweight,-12.7,-15.24,-1,4,1,-22.51428571,-0.357142857,1.828571429
Jake Ellenberger,Nate Marquardt,Jake Ellenberger,Welterweight,7.62,7.62,-6,3,-2,1.94444444,0.595238096,-0.071428571
Nick Ring,Chris Camozzi,Chris Camozzi,Middleweight,5.08,5.08,8,2,-1,-0.85714286,0.178571429,-1.25
Mike Ricci,Colin Fletcher,Mike Ricci,Lightweight,5.08,2.54,-4,0,0,47.0,0.0,0.0
Patrick Cote,Bobby Voelker,Patrick Cote,Welterweight,2.54,10.16,0,-5,8,-22.38461538,-0.153846154,-0.307692308
Antonio Carvalho,Darren Elkins,Darren Elkins,Featherweight,2.54,7.62,5,3,0,-0.83333334,1.666666667,1.833333333
Dan Miller,Jordan Mein,Jordan Mein,Welterweight,-2.54,-2.54,8,-6,5,-23.81818182,-1.272727273,-1.272727273
John Makdessi,Daron Cruickshank,John Makdessi,Lightweight,0.0,10.16,0,-1,2,-14.9,0.0,2.0
Rick Story,Quinn Mulhern,Rick Story,Welterweight,15.24,12.7,0,-7,4,-40.09090909,-1.181818182,-2.636363636
TJ Dillashaw,Issei Tamura,TJ Dillashaw,Bantamweight,-2.54,-10.16,-2,-1,0,-20.0,-2.0,-1.166666667
George Roop,Reuben Duran,George Roop,Bantamweight,-15.24,-7.62,2,-1,3,1.71428571,0.666666667,0.238095238
Wanderlei Silva,Brian Stann,Wanderlei Silva,Light Heavyweight,5.08,0.0,4,2,3,3.36363636,0.209090909,-0.181818182
Stefan Struve,Mark Hunt,Mark Hunt,Heavyweight,-33.02,-30.48,-13,-6,2,-1.66666667,-1.25,0.5
Takanori Gomi,Diego Sanchez,Diego Sanchez,Lightweight,7.62,5.08,3,9,-2,10.42156862,0.764705882,1.12745098
Yushin Okami,Hector Lombard,Yushin Okami,Middleweight,-12.7,-10.16,-4,-11,3,-3.125,-0.5,-0.5
Mizuto Hirota,Rani Yahya,Rani Yahya,Featherweight,-2.54,0.0,3,2,-1,19.33333333,1.0,1.333333333
Dong Hyun Kim,Siyar Bahadurzada,Dong Hyun Kim,Welterweight,-7.62,-7.62,3,-6,3,-24.0,-0.6,-2.7
Riki Fukuda,Brad Tavares,Brad Tavares,Middleweight,2.54,2.54,7,2,1,-35.25,0.0,-0.8
Takeya Mizugaki,Bryan Caraway,Takeya Mizugaki,Bantamweight,2.54,0.0,1,-1,2,-26.6,1.0,0.8
Cristiano Marcello,Kazuki Tokudome,Kazuki Tokudome,Lightweight,5.08,2.54,10,-1,1,-55.5,0.0,0.0
Marcelo Guimaraes,Hyun Gyu Lim,Hyun Gyu Lim,Welterweight,7.62,10.16,1,-1,0,-63.0,0.0,0.0
Ronda Rousey,Liz Carmouche,Ronda Rousey,Women's Bantamweight,-2.54,-5.08,-3,0,0,0.0,0.0,0.0
Lyoto Machida,Dan Henderson,Lyoto Machida,Light Heavyweight,-5.08,0.0,-8,-4,1,6.60576923,0.009615385,0.701923077
Urijah Faber,Ivan Menjivar,Urijah Faber,Bantamweight,0.0,-7.62,3,2,0,-24.08333333,0.583333333,-0.833333333
Court McGee,Josh Neer,Court McGee,Welterweight,0.0,-7.62,-1,3,-6,-32.71428571,0.328571429,-1.085714286
Josh Koscheck,Robbie Lawler,Robbie Lawler,Welterweight,2.54,2.54,5,-11,3,3.47619048,-0.333333333,0.095238095
Brendan Schaub,Lavar Johnson,Brendan Schaub,Heavyweight,0.0,10.16,-6,-2,2,13.14285714,0.0,-0.571428571
Michael Chiesa,Anton Kuivanen,Michael Chiesa,Lightweight,-12.7,-7.62,-3,0,-1,24.5,-0.5,0.5
Dennis Bermudez,Matt Grice,Dennis Bermudez,Featherweight,5.08,10.16,-5,0,-3,1.0,-0.666666667,-2.0
Sam Stout,Caros Fodor,Sam Stout,Lightweight,0.0,15.24,-1,-7,7,-56.57142857,-0.071428571,-0.428571429
Kenny Robertson,Brock Jardine,Kenny Robertson,Welterweight,2.54,-2.54,2,0,1,-2.5,0.0,0.0
Jon Manley,Neil Magny,Neil Magny,Welterweight,5.08,12.7,1,0,0,0.0,0.0,0.0
Nah-Shon Burrell,Yuri Villefort,Nah-Shon Burrell,Welterweight,2.54,0.0,2,0,0,0.0,0.0,0.0
Renan Barao,Michael McDonald,Renan Barao,Bantamweight,7.62,0.0,4,0,0,-40.25,0.5,0.0
Cub Swanson,Dustin Poirier,Cub Swanson,Featherweight,2.54,5.08,5,2,0,17.0,0.583333333,0.416666667
Jimi Manuwa,Cyrille Diabate,Jimi Manuwa,Light Heavyweight,12.7,5.08,-7,3,-2,-12.16666667,-0.833333333,0.833333333
Gunnar Nelson,Jorge Santiago,Gunnar Nelson,Welterweight,5.08,5.08,-8,0,-4,3.2,-1.4,-0.6
James Te Huna,Ryan Jimmo,James Te Huna,Light Heavyweight,-2.54,-5.08,0,-3,1,-33.4,-0.2,-1.8
