R_fighter,B_fighter,Winner name,weight_class,height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif
Jon Jones,Anthony Smith,Jon Jones,Light Heavyweight,0.0,-20.32,1,-10,-1,-28.94210526,-0.126315789,-1.547368421
Tyron Woodley,Kamaru Usman,Kamaru Usman,Welterweight,7.62,5.08,5,0,3,24.05555556,-0.027777778,4.027777777
Robbie Lawler,Ben Askren,Ben Askren,Welterweight,0.0,-2.54,2,-13,6,-51.78947368,0.0,-0.842105263
Tecia Torres,Weili Zhang,Weili Zhang,Women's Strawweight,7.62,7.62,0,-4,3,-1.11111111,0.888888889,0.222222222
Cody Garbrandt,Pedro Munhoz,Pedro Munhoz,Bantamweight,-5.08,0.0,-5,1,-2,10.5,0.727272727,0.011363636
Jeremy Stephens,Zabit Magomedsharipov,Zabit Magomedsharipov,Featherweight,12.7,5.08,4,-11,14,16.05172414,0.655172414,4.818965517
Misha Cirkunov,Johnny Walker,Johnny Walker,Light Heavyweight,5.08,12.7,6,-3,2,-12.78571429,-0.714285714,-1.428571429
Cody Stamann,Alejandro Perez,Cody Stamann,Bantamweight,0.0,7.62,0,4,-1,-26.52777778,0.111111111,-3.416666667
Diego Sanchez,Mickey Gall,Diego Sanchez,Welterweight,10.16,5.08,10,-13,10,-26.15,1.157142857,-0.307142857
Edmen Shahbazyan,Charles Byrd,Edmen Shahbazyan,Middleweight,-10.16,-2.54,-14,0,-1,2.5,0.5,-7.5
Gina Mazany,Macy Chiasson,Macy Chiasson,Women's Bantamweight,12.7,10.16,3,0,2,-1.33333333,2.0,-2.333333333
Polyana Viana,Hannah Cifers,Hannah Cifers,Women's Strawweight,-10.16,-10.16,0,-1,0,12.0,-1.5,-1.0
Jan Blachowicz,Thiago Santos,Thiago Santos,Light Heavyweight,0.0,-5.08,0,6,-1,-12.42352941,-0.241176471,-0.888235294
Stefan Struve,Marcos Rogerio de Lima,Stefan Struve,Heavyweight,-25.4,-22.86,-2,-7,6,-9.96428571,-0.577380952,0.089285714
Gian Villante,Michal Oleksiejczuk,Michal Oleksiejczuk,Light Heavyweight,-7.62,-5.08,9,-7,6,23.71428571,0.0,1.642857143
Liz Carmouche,Lucie Pudilova,Liz Carmouche,Women's Flyweight,5.08,2.54,11,-2,2,47.75,0.25,-2.75
John Dodson,Petr Yan,Petr Yan,Bantamweight,10.16,2.54,8,-6,5,20.85714286,0.333333333,0.357142857
Magomed Ankalaev,Klidson Abreu,Magomed Ankalaev,Light Heavyweight,-7.62,-2.54,0,-1,1,-35.5,0.0,0.0
Dwight Grant,Carlo Pedersoli,Dwight Grant,Welterweight,-5.08,-2.54,9,1,0,9.5,0.0,0.5
Daniel Teymur,Chris Fishgold,Chris Fishgold,Featherweight,7.62,-2.54,5,0,1,-33.0,0.0,1.0
Veronica Macedo,Gillian Robertson,Gillian Robertson,Women's Flyweight,2.54,-2.54,0,2,1,-13.5,0.166666667,0.833333333
Damir Hadzovic,Polo Reyes,Damir Hadzovic,Lightweight,5.08,2.54,-2,2,1,16.8,-0.25,0.0
Michel Prazeres,Ismail Naurdiev,Ismail Naurdiev,Welterweight,10.16,17.78,15,-10,2,-32.16666667,-0.583333333,-3.5
Rustam Khabilov,Diego Ferreira,Diego Ferreira,Lightweight,2.54,2.54,-2,-4,0,5.75324675,0.48051948,-3.025974026
Damir Ismagulov,Joel Alvarez,Damir Ismagulov,Lightweight,12.7,17.78,4,-1,0,-34.0,0.0,-5.0
Francis Ngannou,Cain Velasquez,Francis Ngannou,Heavyweight,-7.62,-15.24,-4,5,0,36.95238096,-0.007936508,2.428571429
James Vick,Paul Felder,Paul Felder,Lightweight,-10.16,-15.24,-3,-2,-2,4.45454545,-0.181818182,0.090909091
Cortney Casey,Cynthia Calvillo,Cynthia Calvillo,Women's Strawweight,-7.62,-7.62,0,0,4,-24.37777778,1.355555556,1.066666667
Alex Caceres,Kron Gracie,Kron Gracie,Featherweight,-2.54,-7.62,0,-9,10,-48.42105263,-0.684210526,-0.473684211
Vicente Luque,Bryan Barberena,Vicente Luque,Welterweight,2.54,-7.62,-2,-2,-1,29.375,-0.194444444,-0.416666667
Andre Fili,Myles Jury,Andre Fili,Featherweight,-2.54,-2.54,-2,2,2,-18.90909091,0.0,-0.636363636
Jimmie Rivera,Aljamain Sterling,Aljamain Sterling,Bantamweight,7.62,7.62,0,2,-2,-1.03896104,0.818181818,1.194805195
Benito Lopez,Manny Bermudez,Manny Bermudez,Bantamweight,0.0,-5.08,0,1,0,-70.5,1.5,0.5
Ashlee Evans-Smith,Andrea Lee,Andrea Lee,Women's Flyweight,-5.08,5.08,1,-2,3,1.66666667,2.0,2.166666667
Scott Holtzman,Nik Lentz,Nik Lentz,Lightweight,-2.54,-2.54,1,8,-6,-22.09523809,0.809523809,0.190476191
Renan Barao,Luke Sanders,Luke Sanders,Bantamweight,0.0,-7.62,-1,-7,3,-14.13333333,-0.133333333,-1.266666667
Alexandra Albu,Emily Whitmire,Emily Whitmire,Women's Strawweight,7.62,0.0,1,-1,-1,-31.0,-0.5,-2.0
Israel Adesanya,Anderson Silva,Israel Adesanya,Middleweight,-5.08,-7.62,-14,13,-5,-26.61363636,0.022727273,0.136363636
Lando Vannata,Marcos Mariano,Lando Vannata,Lightweight,10.16,12.7,-6,-1,5,-57.83333333,-0.333333333,-1.166666667
Rani Yahya,Ricky Simon,Ricky Simon,Bantamweight,0.0,5.08,8,-9,4,11.3,-0.9,2.233333333
Montana De La Rosa,Nadia Kassem,Montana De La Rosa,Women's Flyweight,-5.08,-5.08,0,-1,0,21.0,5.0,0.0
Jimmy Crute,Sam Alvey,Jimmy Crute,Light Heavyweight,0.0,2.54,-10,9,-6,13.4375,-3.9375,-0.9375
Devonte Smith,Dong Hyun Ma,Devonte Smith,Lightweight,5.08,-15.24,-5,2,-2,27.6,0.0,1.2
Shane Young,Austin Arnett,Shane Young,Featherweight,10.16,0.0,-2,0,-1,-18.0,0.0,-0.333333333
Kai Kara-France,Raulian Paiva,Kai Kara-France,Flyweight,7.62,0.0,2,-1,0,-86.0,0.0,0.0
Teruto Ishihara,Kyung Ho Kang,Kyung Ho Kang,Bantamweight,5.08,10.16,-4,0,2,-3.41666667,1.166666667,1.625
Callan Potter,Jalin Turner,Jalin Turner,Lightweight,7.62,12.7,11,0,-1,31.0,0.0,0.0
Wuliji Buren,Jonathan Martinez,Jonathan Martinez,Bantamweight,-2.54,2.54,-3,0,1,47.0,0.0,-2.0
Raphael Assuncao,Marlon Moraes,Marlon Moraes,Bantamweight,2.54,2.54,6,-8,1,-21.40384615,0.096153846,-0.75
Jose Aldo,Renato Moicano,Jose Aldo,Featherweight,10.16,5.08,3,-4,2,10.66666666,0.083333333,0.0
Demian Maia,Lyman Good,Demian Maia,Welterweight,-2.54,5.08,8,-17,8,25.07142857,-0.857142857,-1.80952381
Charles Oliveira,David Teymur,Charles Oliveira,Lightweight,-2.54,-2.54,0,-8,9,34.37272727,-1.272727273,-0.518181818
Johnny Walker,Justin Ledet,Johnny Walker,Light Heavyweight,-2.54,-5.08,-4,2,-1,31.0,0.25,0.25
Livinha Souza,Sarah Frota,Livinha Souza,Women's Strawweight,2.54,15.24,-4,-1,0,-10.0,-1.0,-1.0
Markus Perez,Anthony Hernandez,Markus Perez,Middleweight,-2.54,5.08,5,-1,2,-29.33333333,-1.0,-1.0
Mara Romero Borella,Taila Santos,Mara Romero Borella,Women's Flyweight,-2.54,-2.54,7,-1,1,-41.0,-0.5,-1.0
Thiago Alves,Max Griffin,Thiago Alves,Welterweight,5.08,15.24,2,-12,7,0.53333333,-0.05,-0.341666667
Junior Albini,Jairzinho Rozenstruik,Jairzinho Rozenstruik,Heavyweight,2.54,10.16,-3,-1,2,-26.33333333,0.0,-0.333333333
Geraldo de Freitas,Felipe Colares,Geraldo de Freitas,Featherweight,0.0,-7.62,3,0,0,0.0,0.0,0.0
Ricardo Ramos,Said Nurmagomedov,Said Nurmagomedov,Bantamweight,-2.54,-5.08,-3,-2,0,18.0,-0.666666667,-0.333333333
Magomed Bibulatov,Rogerio Bontorin,Rogerio Bontorin,Flyweight,2.54,5.08,4,-1,1,-28.0,0.0,-1.0
Henry Cejudo,TJ Dillashaw,Henry Cejudo,Flyweight,5.08,7.62,-1,5,-1,20.04444444,0.688888889,-0.711111111
Greg Hardy,Allen Crowder,Allen Crowder,Heavyweight,-5.08,-10.16,1,0,-1,15.0,0.0,0.0
Gregor Gillespie,Yancy Medeiros,Gregor Gillespie,Lightweight,7.62,10.16,1,1,-6,8.38333333,-0.266666667,-3.316666667
Joseph Benavidez,Dustin Ortiz,Joseph Benavidez,Flyweight,2.54,0.0,4,-5,-2,-11.62019231,-0.173076923,1.399038462
Paige VanZant,Rachael Ostovich,Paige VanZant,Women's Flyweight,-2.54,-7.62,-3,-3,2,-20.64285714,0.428571429,-0.642857143
Glover Teixeira,Karl Roberson,Glover Teixeira,Light Heavyweight,-2.54,-5.08,11,-8,4,-13.73333334,0.2,-0.333333333
Alexander Hernandez,Donald Cerrone,Donald Cerrone,Lightweight,10.16,2.54,-9,19,-8,18.98275862,0.379310345,-1.310344828
Joanne Calderwood,Ariane Lipski,Joanne Calderwood,Women's Flyweight,-7.62,5.08,9,-4,3,-58.0,-0.285714286,-1.142857143
Alonzo Menifield,Vinicius Moreira,Alonzo Menifield,Light Heavyweight,10.16,-1.27,2,0,0,0.0,0.0,0.0
Cory Sandhagen,Mario Bautista,Cory Sandhagen,Bantamweight,-5.08,5.08,1,-2,0,-73.0,0.0,-0.5
Dennis Bermudez,Te Edwards,Dennis Bermudez,Lightweight,5.08,15.24,4,-9,6,-45.4375,-0.75,-1.875
Belal Muhammad,Geoff Neal,Geoff Neal,Welterweight,0.0,7.62,2,-3,2,-23.5,0.357142857,-2.142857143
Kyle Stewart,Chance Rencountre,Chance Rencountre,Welterweight,0.0,-2.54,-3,0,-1,16.0,0.0,0.0
Jon Jones,Alexander Gustafsson,Jon Jones,Light Heavyweight,2.54,-12.7,0,-6,-2,-16.21428571,-0.198412699,-0.714285714
Cris Cyborg,Amanda Nunes,Amanda Nunes,Women's Featherweight,0.0,2.54,3,4,-1,-26.6,0.4,0.5
Carlos Condit,Michael Chiesa,Michael Chiesa,Welterweight,-2.54,0.0,3,0,4,-36.52121212,0.06060606,1.078787878
Ilir Latifi,Corey Anderson,Corey Anderson,Light Heavyweight,12.7,15.24,6,1,-1,38.7,-0.3,3.333333333
Chad Mendes,Alexander Volkanovski,Alexander Volkanovski,Featherweight,0.0,12.7,3,-4,4,48.44615385,0.446153846,1.353846154
Cat Zingano,Megan Anderson,Megan Anderson,Women's Featherweight,15.24,10.16,8,-3,2,-3.66666667,-0.666666667,-2.166666667
Douglas Silva de Andrade,Petr Yan,Petr Yan,Bantamweight,0.0,-2.54,8,-1,2,9.9,0.0,-0.8
BJ Penn,Ryan Hall,Ryan Hall,Lightweight,2.54,2.54,7,-10,13,-2.78,0.02,-0.54
Nathaniel Wood,Andre Ewell,Nathaniel Wood,Bantamweight,5.08,15.24,-5,0,0,20.0,-1.0,1.0
Uriah Hall,Bevon Lewis,Uriah Hall,Middleweight,7.62,0.0,7,-6,7,-29.84615385,-0.153846154,-0.538461538
Curtis Millender,Siyar Bahadurzada,Curtis Millender,Welterweight,-7.62,-7.62,-3,2,-2,-7.16666667,0.333333333,0.333333333
Brian Kelleher,Montel Jackson,Montel Jackson,Bantamweight,10.16,22.86,6,-3,1,-5.0,-0.4,1.2
Kevin Lee,Al Iaquinta,Al Iaquinta,Lightweight,2.54,-17.78,-5,-2,0,2.81818182,-0.573426573,-1.734265735
Edson Barboza,Dan Hooker,Edson Barboza,Lightweight,2.54,0.0,4,-6,3,-7.71052632,0.247368421,-0.068421053
Rob Font,Sergio Pettis,Rob Font,Bantamweight,-5.08,-5.08,6,3,-1,17.95833333,-0.083333333,0.291666667
Jim Miller,Charles Oliveira,Charles Oliveira,Lightweight,5.08,7.62,6,-6,3,-8.30952381,-0.047619047,0.133333333
Zak Ottow,Dwight Grant,Zak Ottow,Welterweight,5.08,10.16,-3,-3,3,-29.83333333,-0.333333333,-0.5
Bobby Green,Drakkar Klose,Drakkar Klose,Lightweight,-2.54,-2.54,2,-3,3,-7.88888889,-0.111111111,1.0
Jared Gordon,Joaquim Silva,Joaquim Silva,Lightweight,-2.54,2.54,1,1,0,-23.66666667,0.25,-2.0
Gerald Meerschaert,Jack Hermansson,Jack Hermansson,Middleweight,0.0,0.0,0,0,-1,10.03333333,-0.633333333,-0.2
Trevor Smith,Zak Cummings,Zak Cummings,Middleweight,-7.62,0.0,3,1,2,-16.61111111,0.066666667,-0.822222222
Dan Ige,Jordan Griffin,Dan Ige,Featherweight,7.62,2.54,-1,-1,1,-30.0,0.0,-1.0
Adam Milstead,Mike Rodriguez,Mike Rodriguez,Light Heavyweight,2.54,15.24,1,-1,1,1.0,0.0,0.0
Chris de la Rocha,Juan Adams,Juan Adams,Heavyweight,5.08,0.0,13,-1,2,-26.66666667,-0.666666667,-1.0
Max Holloway,Brian Ortega,Max Holloway,Featherweight,-7.62,0.0,0,-9,2,-38.70634921,0.753968254,-0.079365079
Valentina Shevchenko,Joanna Jedrzejczyk,Valentina Shevchenko,Women's Flyweight,2.54,-2.54,-1,5,0,60.6818182,-0.5,-1.818181818
Alex Oliveira,Gunnar Nelson,Gunnar Nelson,Welterweight,0.0,-10.16,0,-2,1,-7.85384615,0.161538462,-1.0
Hakeem Dawodu,Kyle Bochniak,Hakeem Dawodu,Featherweight,-2.54,-7.62,-4,1,-2,-0.6,0.0,1.0
Jimi Manuwa,Thiago Santos,Thiago Santos,Light Heavyweight,2.54,-7.62,4,5,-1,5.5625,-0.1375,0.075
Claudia Gadelha,Nina Ansaroff,Nina Ansaroff,Women's Strawweight,2.54,2.54,-3,-2,1,23.375,-0.2,-3.475
Olivier Aubin-Mercier,Gilbert Burns,Gilbert Burns,Lightweight,2.54,2.54,-3,-1,0,-3.22222222,0.055555556,-0.855555556
Katlyn Chookagian,Jessica Eye,Jessica Eye,Women's Flyweight,-7.62,-5.08,-3,-1,-5,-12.4,0.577777778,0.555555556
Elias Theodorou,Eryk Anders,Elias Theodorou,Middleweight,0.0,0.0,-1,-4,0,-12.51111111,0.2,0.955555556
Brad Katona,Matthew Lopez,Brad Katona,Bantamweight,2.54,12.7,-5,1,-3,-42.4,1.0,0.2
Chad Laprise,Dhiego Lima,Dhiego Lima,Welterweight,10.16,7.62,3,-5,-2,-27.5,0.666666667,0.333333333
Diego Ferreira,Kyle Nelson,Diego Ferreira,Lightweight,5.08,-7.62,6,-4,2,-27.83333333,-0.5,-0.166666667
Devin Clark,Aleksandar Rakic,Aleksandar Rakic,Light Heavyweight,10.16,7.62,2,-1,2,36.2,-0.2,-1.1
Junior Dos Santos,Tai Tuivasa,Junior Dos Santos,Heavyweight,-5.08,-5.08,9,-10,4,-21.35294118,-0.058823529,-0.294117647
Mauricio Rua,Tyson Pedro,Mauricio Rua,Light Heavyweight,5.08,7.62,10,-6,7,-22.97777778,0.377777778,-0.766666667
Mark Hunt,Justin Willis,Justin Willis,Heavyweight,7.62,15.24,13,-5,9,22.94117647,-0.058823529,0.921568627
Jake Matthews,Anthony Rocco Martin,Anthony Rocco Martin,Welterweight,2.54,0.0,-4,-1,-1,2.6,0.4,-0.9
Suman Mokhtarian,Sodiq Yusuff,Sodiq Yusuff,Featherweight,-2.54,10.16,1,0,0,0.0,0.0,0.0
Jimmy Crute,Paul Craig,Jimmy Crute,Light Heavyweight,2.54,5.08,-9,2,-2,19.5,1.0,0.75
Yushin Okami,Aleksei Kunchenko,Aleksei Kunchenko,Welterweight,-15.24,-12.7,3,-13,6,18.85,-0.45,-0.65
Wilson Reis,Ben Nguyen,Wilson Reis,Flyweight,2.54,0.0,3,-2,3,6.86363636,0.212121212,-3.742424242
Keita Nakamura,Salim Touahri,Keita Nakamura,Welterweight,-2.54,-2.54,5,-3,5,5.33333333,-0.444444444,-2.0
Elias Garcia,Kai Kara-France,Kai Kara-France,Flyweight,0.0,5.08,1,0,1,-19.0,0.0,0.0
Mizuto Hirota,Christos Giagos,Christos Giagos,Lightweight,7.62,10.16,9,0,2,-41.0,0.25,-1.25
Alex Gorgees,Damir Ismagulov,Damir Ismagulov,Lightweight,-10.16,0.04,-4,0,0,0.0,0.0,0.0
Rafael Dos Anjos,Kamaru Usman,Kamaru Usman,Welterweight,10.16,15.24,3,-9,8,2.265,-0.31,1.7
Juan Espino,Justin Frazier,Juan Espino,Heavyweight,-10.16,-17.78,9,0,0,0.0,0.0,0.0
Pannie Kianzad,Macy Chiasson,Macy Chiasson,Women's Featherweight,10.16,10.16,-1,0,0,0.0,0.0,0.0
Pedro Munhoz,Bryan Caraway,Pedro Munhoz,Bantamweight,5.08,7.62,-2,0,1,-11.68888889,-0.133333333,1.411111111
Darren Stewart,Edmen Shahbazyan,Edmen Shahbazyan,Middleweight,5.08,0.04,6,-2,4,-22.5,0.0,-1.0
Ji Yeon Kim,Antonina Shevchenko,Antonina Shevchenko,Women's Flyweight,2.54,-12.7,-5,-2,1,-67.0,0.0,0.0
Rick Glenn,Kevin Aguilar,Kevin Aguilar,Featherweight,-12.7,7.62,-1,-3,2,-62.8,-0.4,-0.8
Joseph Benavidez,Alex Perez,Joseph Benavidez,Flyweight,5.08,0.0,8,-9,3,-2.46666666,0.733333333,1.266666666
Maurice Greene,Michel Batista,Maurice Greene,Heavyweight,-10.16,-4.28,-2,0,0,0.0,0.0,0.0
Julija Stoliarenko,Leah Letson,Leah Letson,Women's Featherweight,0.0,12.7,-1,0,0,0.0,0.0,0.0
Roosevelt Roberts,Darrell Horcher,Roosevelt Roberts,Lightweight,-10.16,-7.62,-7,1,-2,26.33333333,0.666666667,0.333333333
Tim Means,Ricky Rainey,Tim Means,Welterweight,-2.54,5.08,-1,-9,7,-31.17647059,-0.117647059,-0.470588235
Raoni Barcelos,Chris Gutierrez,Raoni Barcelos,Bantamweight,5.08,5.08,4,-1,0,-82.0,0.0,-3.0
Curtis Blaydes,Francis Ngannou,Francis Ngannou,Heavyweight,0.0,7.62,-5,1,0,-29.07142857,0.25,-4.714285714
Alistair Overeem,Sergei Pavlovich,Alistair Overeem,Heavyweight,-2.54,10.16,12,-8,6,-30.0,-0.214285714,-0.214285714
Song Yadong,Vince Morales,Song Yadong,Bantamweight,-2.54,7.62,-8,-2,0,-23.5,-1.0,-0.5
Li Jingliang,David Zawada,Li Jingliang,Welterweight,0.0,10.16,2,-6,2,-12.55555556,5.0,1.333333333
Song Kenan,Alex Morono,Alex Morono,Welterweight,-2.54,2.54,0,1,-3,21.0,0.5,0.0
Wu Yanan,Lauren Mueller,Wu Yanan,Women's Flyweight,-7.62,2.54,-5,1,1,36.0,0.0,1.0
Hu Yaozong,Rashad Coulter,Rashad Coulter,Light Heavyweight,-10.16,10.16,-13,0,-2,17.33333333,-1.0,0.0
Weili Zhang,Jessica Aguilar,Weili Zhang,Women's Strawweight,-2.54,0.0,-7,0,-2,8.0,0.0,0.333333333
Liu Pingyuan,Martin Day,Liu Pingyuan,Bantamweight,10.16,2.54,-5,-1,0,-32.0,-2.0,-1.0
Yan Xiaonan,Syuri Kondo,Yan Xiaonan,Women's Strawweight,-2.54,7.62,0,-1,-1,-15.0,0.0,0.0
Kevin Holland,John Phillips,Kevin Holland,Middleweight,-10.16,-15.24,-7,0,0,-31.0,-1.0,0.0
Su Mudaerji,Louis Smolka,Louis Smolka,Bantamweight,2.54,-10.16,-5,5,-5,47.2,1.8,1.3
Neil Magny,Santiago Ponzinibbio,Santiago Ponzinibbio,Welterweight,-7.62,-17.78,-1,-6,3,-3.94736842,-0.263157895,-1.757894737
Ricardo Lamas,Darren Elkins,Ricardo Lamas,Featherweight,5.08,0.0,2,5,0,8.79699248,0.390977444,1.12406015
Khalil Rountree Jr.,Johnny Walker,Johnny Walker,Light Heavyweight,10.16,15.24,2,-3,3,-16.0,-0.166666667,0.0
Cezar Ferreira,Ian Heinisch,Ian Heinisch,Middleweight,-5.08,-15.24,3,-9,4,-17.84615385,-0.384615385,-1.769230769
Guido Cannetti,Marlon Vera,Marlon Vera,Bantamweight,5.08,5.08,13,3,-2,10.80555556,0.638888889,-1.305555556
Cynthia Calvillo,Poliana Botelho,Cynthia Calvillo,Women's Strawweight,10.16,7.62,2,-1,1,-0.75,-2.0,-0.75
Michel Prazeres,Bartosz Fabinski,Michel Prazeres,Welterweight,15.24,20.32,5,-6,2,0.21212122,-0.545454545,3.606060606
Alexandre Pantoja,Ulka Sasaki,Alexandre Pantoja,Flyweight,12.7,10.16,-1,1,-3,-47.0,-0.625,0.875
Humberto Bandenay,Austin Arnett,Austin Arnett,Featherweight,2.54,1.27,-3,-1,-1,24.0,-0.5,0.5
Laureano Staropoli,Hector Aldana,Laureano Staropoli,Welterweight,-5.08,2.54,-5,0,-1,39.0,0.0,2.0
Devin Powell,Jesus Pinedo,Jesus Pinedo,Lightweight,-5.08,2.58,8,-1,2,-25.66666667,-0.666666667,0.0
Nad Narimani,Anderson Dos Santos,Nad Narimani,Featherweight,-7.62,0.0,-2,-1,0,-45.0,0.0,-6.0
Chan Sung Jung,Yair Rodriguez,Yair Rodriguez,Featherweight,10.16,-2.54,5,2,0,22.34285714,0.342857143,0.142857143
Donald Cerrone,Mike Perry,Donald Cerrone,Welterweight,-7.62,-5.08,8,-15,5,0.44642857,-0.357142857,-0.214285714
Raquel Pennington,Germaine de Randamie,Germaine de Randamie,Women's Bantamweight,5.08,10.16,-4,-2,2,-15.84444444,-1.0,-1.222222222
Beneil Dariush,Thiago Moises,Beneil Dariush,Lightweight,-2.54,-5.08,6,-8,5,-36.46153846,-0.384615385,-0.692307692
Maycee Barber,Hannah Cifers,Maycee Barber,Women's Strawweight,-10.16,-5.08,-6,0,0,0.0,0.0,0.0
Michael Trizano,Luis Pena,Michael Trizano,Lightweight,10.16,10.16,1,0,0,-34.0,0.0,1.0
Ashley Yoder,Amanda Cooper,Ashley Yoder,Women's Strawweight,-10.16,-12.7,4,2,0,-16.06666667,0.8,-0.733333333
Chas Skelly,Bobby Moffett,Bobby Moffett,Featherweight,-2.54,5.08,5,-6,3,-17.88888889,-1.555555556,-1.111111111
Davi Ramos,John Gunther,Davi Ramos,Lightweight,7.62,5.08,0,-1,1,-5.0,-0.666666667,6.0
Devonte Smith,Julian Erosa,Devonte Smith,Lightweight,10.16,-5.08,-4,1,-1,38.5,1.0,1.5
Joseph Morales,Eric Shelton,Eric Shelton,Flyweight,0.0,-2.54,-3,0,-2,37.0,-0.25,2.5
Mark De La Rosa,Joby Sanchez,Mark De La Rosa,Bantamweight,0.0,7.62,-3,0,-2,20.0,-0.25,-0.5
Daniel Cormier,Derrick Lewis,Daniel Cormier,Heavyweight,10.16,17.78,6,2,-1,-22.83333333,-0.583333333,-1.083333334
Chris Weidman,Jacare Souza,Jacare Souza,Middleweight,-2.54,-15.24,-4,-2,0,-7.99300699,-0.041958042,-1.587412587
David Branch,Jared Cannonier,Jared Cannonier,Middleweight,-5.08,-2.54,3,-1,-1,15.28571429,0.0,-1.428571428
Karl Roberson,Jack Marshman,Karl Roberson,Middleweight,-2.54,-2.54,0,1,-1,20.5,-1.0,-0.5
Derek Brunson,Israel Adesanya,Israel Adesanya,Middleweight,7.62,7.62,5,-6,4,56.30769231,0.102564102,-1.0
Jason Knight,Jordan Rinaldi,Jordan Rinaldi,Featherweight,0.0,2.54,-5,-3,2,-30.41666667,-0.958333333,-0.583333333
Sijara Eubanks,Roxanne Modafferi,Sijara Eubanks,Women's Flyweight,7.62,5.08,-3,0,-2,0.0,0.333333333,-1.0
Julio Arce,Sheymon Moraes,Sheymon Moraes,Featherweight,2.54,5.08,1,-1,-1,-22.0,-0.5,0.0
Lyman Good,Ben Saunders,Lyman Good,Welterweight,5.08,7.62,-2,8,-6,-39.0,0.5625,-0.375
Shane Burgos,Kurt Holobaugh,Shane Burgos,Featherweight,0.0,-12.7,-5,-3,-1,-13.75,1.0,0.5
Adam Wieczorek,Marcos Rogerio de Lima,Marcos Rogerio de Lima,Heavyweight,-10.16,-15.24,-7,2,-3,-14.64285714,-0.071428571,0.0
Volkan Oezdemir,Anthony Smith,Anthony Smith,Light Heavyweight,5.08,2.54,-1,3,-2,-4.69444444,0.222222222,0.333333333
Michael Johnson,Artem Lobov,Michael Johnson,Featherweight,-2.54,-20.32,0,-8,5,9.80701754,-0.052631579,0.078947368
Misha Cirkunov,Patrick Cummins,Misha Cirkunov,Light Heavyweight,-2.54,-2.54,-6,2,-3,20.0,-0.409090909,1.590909091
Andre Soukhamthath,Jonathan Martinez,Andre Soukhamthath,Bantamweight,-2.54,0.0,-2,-1,3,-33.5,0.0,-1.0
Gian Villante,Ed Herman,Gian Villante,Light Heavyweight,-5.08,2.54,-5,4,-3,-23.07692308,0.8,1.215384615
Alex Garcia,Court McGee,Court McGee,Welterweight,5.08,7.62,-2,2,-2,44.21367521,0.350427351,-1.341880342
Nordine Taleb,Sean Strickland,Sean Strickland,Welterweight,0.0,5.08,10,0,0,16.66666667,0.444444444,-0.555555556
Thibault Gouti,Nasrat Haqparast,Nasrat Haqparast,Lightweight,0.0,0.0,8,0,3,39.6,-0.2,-0.3
Calvin Kattar,Chris Fishgold,Calvin Kattar,Featherweight,-7.62,-10.16,4,-2,1,-67.0,0.0,-0.666666667
Sarah Moras,Talita Bernardo,Talita Bernardo,Women's Bantamweight,-7.62,2.54,-1,-2,0,14.25,-0.5,1.25
Te Edwards,Don Madge,Don Madge,Lightweight,10.16,0.0,1,0,0,0.0,0.0,0.0
Arjan Bhullar,Marcelo Golm,Arjan Bhullar,Heavyweight,5.08,0.0,6,0,0,30.5,0.5,-1.0
Stevie Ray,Jessin Ayari,Stevie Ray,Lightweight,5.08,7.62,2,-4,2,13.125,-0.125,-0.625
Khabib Nurmagomedov,Conor McGregor,Khabib Nurmagomedov,Lightweight,-2.54,10.16,0,-1,-1,-11.4,-0.5,-4.4
Tony Ferguson,Anthony Pettis,Tony Ferguson,Lightweight,-2.54,-10.16,3,-5,-5,-16.42857143,-0.357142857,0.142857142
Ovince Saint Preux,Dominick Reyes,Dominick Reyes,Light Heavyweight,2.54,-7.62,7,-9,6,-5.76470588,0.205882353,-0.029411765
Derrick Lewis,Alexander Volkov,Derrick Lewis,Heavyweight,10.16,2.54,4,-7,3,60.64285714,0.0,0.892857143
Michelle Waterson,Felice Herrig,Michelle Waterson,Women's Strawweight,2.54,7.62,-2,2,0,5.82857143,-0.342857143,-1.0
Sergio Pettis,Jussier Formiga,Jussier Formiga,Flyweight,-2.54,-5.08,-8,-1,-1,-41.54545455,0.09090909,0.363636364
Vicente Luque,Jalin Turner,Vicente Luque,Welterweight,10.16,5.08,3,-6,2,-23.0,-0.5,-0.75
Aspen Ladd,Tonya Evinger,Aspen Ladd,Women's Bantamweight,2.54,10.16,-14,-1,-1,6.0,0.0,0.0
Scott Holtzman,Alan Patrick,Scott Holtzman,Lightweight,5.08,12.7,0,1,1,-41.16666666,0.0,0.666666667
Lina Lansberg,Yana Kunitskaya,Yana Kunitskaya,Women's Bantamweight,-2.54,7.62,8,-2,1,-38.75,0.0,0.5
Gray Maynard,Nik Lentz,Nik Lentz,Lightweight,-2.54,-5.08,5,1,0,15.73684211,0.468421053,0.318421053
Ryan LaFlare,Anthony Rocco Martin,Anthony Rocco Martin,Welterweight,-2.54,-2.54,7,-2,-2,-10.22222223,0.777777778,-1.444444444
Thiago Santos,Eryk Anders,Thiago Santos,Light Heavyweight,-2.54,-2.54,3,-7,4,17.0,-0.066666667,1.166666667
