height_dif,reach_dif,age_dif,win_dif,loss_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,weight_class_encoded
-2.54,5.08,-9,-3,-2,-2.8,0.5,2.5,3
10.16,10.16,-3,2,4,0.22,0.1,0.42,11
0.0,-7.62,-2,-3,-3,0.66,0.1,-0.28,10
-10.16,-22.86,-4,0,-1,-1.27,0.0,1.0,1
-12.7,-7.62,6,5,3,-1.06,0.2,0.89,6
0.0,-7.62,-1,-1,2,-0.96,-0.1,-2.58,6
-7.62,-5.08,-6,-13,-6,-0.5,2.9,0.44,7
5.08,0.0,-1,2,2,-0.1,0.2,-0.35,4
5.08,7.62,0,-1,1,2.51,0.0,0.0,6
7.62,7.62,-3,2,1,-0.34,1.6,-0.29,2
-10.16,-7.62,6,3,2,-1.05,-0.9,0.23,2
-2.54,2.54,1,-4,-1,3.37,-2.4,-0.09,1
2.54,12.7,2,0,1,0.04,-0.4,-0.25,6
-2.54,-10.16,-8,-4,-4,-4.3,-0.4,-1.94,4
-7.62,-17.78,4,1,-1,-0.32,0.0,-0.25,11
-2.54,0.0,-3,-3,1,0.25,0.2,-2.28,3
0.0,-7.62,-10,6,0,-1.07,0.7,1.54,5
2.54,-2.54,-5,-14,-16,0.93,0.3,4.19,3
0.0,5.08,-2,-1,0,1.08,-0.9,-5.29,2
5.08,-2.54,-1,-2,-3,2.73,0.5,1.51,7
-5.08,-7.62,-8,-5,-1,-1.99,-0.2,-1.0,1
-10.16,-10.16,-6,-2,-1,-5.16,1.4,1.9,11
2.54,-5.08,3,-1,-1,-0.28,-0.3,3.81,6
2.54,7.62,0,-1,2,0.5,0.0,-1.53,10
-2.54,2.54,-5,2,0,-2.35,1.7,1.71,8
0.0,5.08,0,-10,-3,-0.3,-1.1,-0.83,3
5.08,10.16,4,-1,0,0.94,-0.6,-1.86,1
7.62,12.7,4,1,0,0.36,0.0,0.2,8
-7.62,0.0,-2,-1,-2,-1.33,0.1,1.31,5
-10.16,-10.16,2,-6,-1,-3.44,-0.6,-0.63,6
-7.62,2.54,-2,-9,-4,0.69,-0.6,1.04,1
2.54,-7.62,-4,-3,-2,-1.07,-0.1,1.26,1
-7.62,-2.54,-12,-2,0,0.47,2.5,3.06,7
2.54,5.08,-1,-4,-2,1.93,-0.3,1.72,2
5.08,5.08,2,2,5,0.16,0.4,0.26,4
2.54,2.54,0,4,2,0.21,-0.2,-1.67,2
15.24,15.24,-6,1,1,-1.0,-0.5,-1.4,10
7.62,-2.54,1,2,2,-0.16,-0.3,-0.47,8
2.54,12.7,9,16,8,-1.53,0.6,1.19,8
-2.54,0.0,-3,-4,0,-0.09,-0.7,0.5,6
-7.62,-2.54,-1,-10,-7,-1.96,-0.2,0.53,1
5.08,12.7,1,-6,-3,-3.57,-0.6,-1.28,3
2.54,-15.24,6,-2,-1,-3.57,1.2,4.83,0
-17.78,-25.4,13,9,3,-0.35,-2.6,4.11,1
-5.08,5.08,4,-8,-4,-3.09,-1.0,-1.48,1
-5.08,-2.54,5,0,-1,-1.78,0.0,0.0,0
0.0,-5.08,-5,-2,1,-1.0,0.5,-0.49,5
-5.08,-2.54,-3,-3,-2,0.47,-0.4,-1.76,7
-2.54,-12.7,1,-5,-3,-1.06,-0.3,0.56,3
0.0,-2.54,-5,2,-3,-0.25,-0.3,0.56,7
2.54,-5.08,-17,-5,-4,0.3,-2.0,0.67,8
0.0,-2.54,7,-6,-3,0.3,-1.1,1.19,6
-2.54,0.0,-3,-2,-2,-1.79,-0.9,-0.29,7
0.0,5.08,7,-1,-2,1.56,-0.8,-2.31,2
5.08,0.0,-8,-11,-6,-0.56,-0.8,-0.26,1
-2.54,10.16,1,-2,0,-2.05,0.0,-0.09,0
5.08,5.08,6,1,2,0.57,0.7,0.1,11
2.54,-5.08,1,0,-1,0.91,0.5,0.99,1
